*	* unknown
778504.00	-651285.70
778498.93	-651288.03
778493.80	-651286.93
778484.79	-651285.92
778473.21	-651281.48
778464.95	-651282.67
778456.89	-651289.01
778450.43	-651290.75
778443.64	-651289.24
778434.02	-651287.61
778423.17	-651287.31
778411.74	-651289.57
778401.34	-651290.40
778394.41	-651292.02
778389.36	-651297.56
778383.87	-651300.22
778380.55	-651300.19
778376.55	-651302.49
778370.93	-651302.96
778363.89	-651301.77
778361.73	-651297.26
778357.25	-651293.70
778347.79	-651286.73
778342.73	-651284.14
778337.41	-651282.50
778326.99	-651286.08
778314.24	-651294.06
778304.23	-651294.88
778298.92	-651294.63
778296.64	-651290.60
778292.23	-651291.49
778288.96	-651286.83
778287.08	-651282.76
778283.35	-651280.68
778278.41	-651280.37
778272.39	-651283.71
778270.08	-651285.77
778267.16	-651290.21
778262.76	-651291.59
778258.77	-651293.13
778256.29	-651294.87
778251.86	-651294.47
778248.51	-651291.88
778246.34	-651290.83
778242.62	-651289.74
778239.48	-651287.10
778234.78	-651285.66
778223.90	-651284.37
778218.34	-651285.92
778213.44	-651284.68
778207.80	-651284.51
778202.06	-651285.98
778193.34	-651286.32
778191.23	-651288.79
778186.47	-651291.52
778178.92	-651294.06
778174.52	-651295.85
778172.67	-651298.48
778167.20	-651300.79
778158.45	-651308.92
778154.20	-651314.69
778150.68	-651315.74
778148.51	-651318.99
778144.60	-651321.86
778140.70	-651326.71
778136.90	-651332.04
778136.08	-651339.79
778131.28	-651345.27
778126.25	-651349.92
778121.71	-651355.35
778117.96	-651360.79
778115.85	-651365.63
778112.56	-651370.05
778109.76	-651375.76
778108.02	-651381.23
778106.87	-651386.44
778104.97	-651390.61
778102.52	-651394.86
778098.65	-651399.78
778093.40	-651407.22
778092.24	-651411.21
778086.17	-651416.17
778085.08	-651420.39
778080.76	-651423.39
778077.19	-651425.11
778073.08	-651427.73
778070.04	-651432.63
778071.02	-651439.24
778071.98	-651444.03
778071.09	-651449.62
778067.70	-651453.68
778054.30	-651458.21
778041.96	-651460.25
778034.25	-651463.35
778027.91	-651467.35
778022.68	-651471.00
778016.84	-651472.85
778006.06	-651473.76
777997.15	-651476.69
777989.24	-651477.86
777980.88	-651478.19
777973.55	-651481.22
777969.76	-651488.55
777966.25	-651494.45
777962.46	-651500.49
777956.64	-651504.77
777951.80	-651506.38
777949.30	-651509.72
777941.95	-651513.15
777936.11	-651514.18
777931.14	-651517.89
777926.21	-651518.86
777919.86	-651518.78
777913.81	-651518.89
777905.73	-651519.63
777897.65	-651523.30
777893.12	-651524.12
777886.57	-651525.18
777879.72	-651528.53
777874.86	-651529.54
